authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount
140813267,Eugenio Zetina Calan,eugenio_zetina,2010-05-06 06:38:39,0,571,647
600630501,DeTodoEn,dtodoen,2012-06-05 18:45:02,0,746,959
183858888,Tiempo CDMX,Tiempo_DF,2010-08-27 20:10:16,0,36590,83
296915250,Adita,Principezza8,2011-05-11 10:17:41,0,12,430
110413134,Carlos Ramos Padilla,cramospadilla,2010-02-01 07:14:16,0,11395,1807
35977487,La Jornada,lajornadaonline,2009-04-27 21:40:43,1,2781661,291
61788290,Adriana Chávez,adrichavezs,2009-07-31 08:56:04,0,1424,3108
88882540,Horacio Beristain,HBeristain,2009-11-10 02:26:21,0,961,2794
784910771054481408,Charlsoto,cesb72,2016-10-08 18:18:05,0,0,95
2181220531,David Trujillo,domartrujillo,2013-11-07 19:28:22,0,120,1526
1037504796008308736,Bety MePa,mepa_bety,2018-09-05 18:56:34,0,289,528
187297417,Miguel Ángel,miguelam_,2010-09-05 14:55:01,0,247,1357
108448758,Araña Nacionalista,AntiguoNeotuzo,2010-01-25 18:02:28,0,3003,2814
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
185751836,Cesar Montiel,cesarmco8,2010-09-01 13:12:13,0,21,337
236256131,Luis Sánchez (EvTC),ETC_LUISSANDIZ,2011-01-09 22:52:49,0,126,227
166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1935859,133
292098385,Christian Gallegos,PASenVERDE,2011-05-02 21:04:57,0,1012,1564
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926197,763
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
1131669266,Protección Civil Tab,ProcivilTabasco,2013-01-29 11:34:54,0,41234,560
76957371,Un Tal Christian Said,christiansaids,2009-09-24 08:52:47,0,1722,993
3290590946,Tránsito y Vialidad,Transito_Vtlane,2015-07-24 11:34:46,0,7046,50
54470725,Pepe Chuy,chuy_cuantico,2009-07-07 00:21:26,0,596,1675
759136141224218624,Alerta de Accidentes,OpEsMx,2016-07-29 15:18:55,0,26636,72
375350505,adri,radrianarz,2011-09-17 17:59:32,0,58,387
111110077,El Sol de México,elsolde_mexico,2010-02-03 15:08:29,1,98551,804
111110077,El Sol de México,elsolde_mexico,2010-02-03 15:08:29,1,98551,804
162401957,Giovanni Rod,giovannirodrigo,2010-07-03 09:09:46,0,2524,2514
205332910,Posada Viena Hotel,PosadaViena,2010-10-20 10:51:59,0,395,446
197812020,Axel,_AxelHernandezG,2010-10-02 08:44:32,0,81,858
155387513,Pablo Lorenzini,PabloLoDa,2010-06-13 18:52:15,0,246,703
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
715614606656339968,@juvims07,juvims071,2016-03-31 12:59:52,0,245,882
1535337228,FRENTEALIANZA BUEN GOBIERNO AC,FRENTEALIANZABG,2013-06-20 18:23:41,0,2396,4996
33448436,Jorge Isaías,jorgeisaias,2009-04-20 00:43:17,0,318,89
864614439995285506,Santa Fe CDMX,pueblosantafe,2017-05-16 16:52:01,0,1894,263
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
708911604964831233,Eu,arace71,2016-03-13 01:04:32,0,27,92
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
1022534991031488513,Rubén Pliego Rodríguez,RubnPliego1,2018-07-26 11:31:54,0,15,16
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
189181028,nokomotionate,explosivenok,2010-09-10 09:56:35,0,25,97
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
476050170,Cruz Roja CDMX,CruzRoja_CDMX,2012-01-27 12:27:33,0,43729,370
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
845702510530777088,SAMY,Mexico_lindo00,2017-03-25 12:22:45,0,56,406
325928550,TUM-A Jesús Valdéz Martínez,tumperegrino,2011-06-28 21:03:38,0,1123,2456
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
1655555070,kublai,Garrido1972,2013-08-08 09:12:49,0,31,170
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
23377748,Fuerza Informativa Azteca,AztecaNoticias,2009-03-08 18:35:31,1,824594,925
48240206,PaoGan,itopa_gc,2009-06-17 22:09:03,0,99,255
2927306928,Mungui ,munguimusic,2014-12-11 21:51:29,0,408,323
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
352749407,PacoM,pacoramomi,2011-08-10 19:35:56,0,187,280
2150148421,AquilesBoy!,AAcostaDt,2013-10-22 21:18:27,0,283,715
277111294,Alex García,ALEXGAR64,2011-04-04 12:30:09,0,1688,4789
955245619240718336,Angel,luisangel9527,2018-01-21 19:07:58,0,42,1503
85393766,Luis Angel ,luiscomet,2009-10-26 13:33:41,0,187,514
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1935861,133
812060605,CtoEducadoresSAT,CtoEducadoresSA,2012-09-08 19:27:53,0,2346,1111
1022534991031488513,Rubén Pliego Rodríguez,RubnPliego1,2018-07-26 11:31:54,0,15,16
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
230007150,Me dicen Adi.,Adzzzz,2010-12-23 18:23:53,0,335,960
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
150861704,Odette GC,Odette88GC,2010-06-01 19:01:30,0,953,1069
40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,897301,69
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
95949592,Imagen Información,NoticiasImagen,2009-12-10 11:53:20,0,224131,318
2288773188,ximenamontellano,montellano500,2014-01-12 16:54:11,0,23,585
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
106548161,Charlie Zvierboi ,Zvierboi,2010-01-19 16:45:54,0,1158,2162
432710841,Carlos Rivero G,doncarlosrivero,2011-12-09 11:58:24,0,134,276
82340948,Rodrigo Sanchez,rodsanrey,2009-10-14 05:53:31,0,31,67
117848659,Raul Nava,rnavavega,2010-02-26 14:34:55,0,372,517
1112548924378808320,Rolandogame56@gmail.com,Rolandogame56g1,2019-03-31 20:55:08,0,0,1
1020430410319216640,Javyrey,Javyrey3,2018-07-20 16:09:03,0,77,186
134319754,Charl Drxlr,Van_Haussen,2010-04-17 20:55:34,0,827,1441
422149542,Tezcatlipoca,CTezcatlipoca,2011-11-26 15:48:21,0,5,17
111463164,EDUARDO PAZ ROJAS,EPAZROJAS,2010-02-04 18:59:29,0,88,542
182182957,NORMIUX,SONRISA1967,2010-08-23 18:59:33,0,40,88
105870328,Letty Fernández,lettykoalita,2010-01-17 13:35:22,0,587,551
122138735,J. Carlos ,jcblancoc4,2010-03-11 12:31:57,0,3146,4251
625174147,Al Perey,al_Azahr,2012-07-02 19:58:10,0,132,276
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
60649751,Laura Ramírez,LauraRamirezO,2009-07-27 11:06:07,0,213,460
231622052,C.T.,kunkun1906,2010-12-28 19:25:18,0,222,498
893992406093365249,Cari Hood o Gia :),ganitasdebailar,2017-08-05 18:29:33,0,17,171
136763692,Geól. Sergio Almazán,chematierra,2010-04-24 15:23:12,0,146506,149
2955281005,EL PLLMx28,ElPolloMx28,2015-01-01 14:34:54,0,23536,530
832614617885052929,Fernando RojasMadrid,FRojasmadrid,2017-02-17 09:36:08,0,1,32
1552466989,Domingo Vivanco Sala,DonVivanco,2013-06-28 01:10:13,0,178,364
71596342,Antonio,velantonio,2009-09-04 12:04:11,0,149,839
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
104920825,soytufan,soyturefan,2010-01-14 14:22:29,0,237,707
807024104083750912,Marx Alarcon,marx_alarcon,2016-12-08 18:48:35,0,166,175
813234940657680384,Adolfo Cardenas,AdolfoC20125601,2016-12-25 22:08:13,0,0,45
121376182,Marco Torices,matorices,2010-03-09 03:13:00,0,3,22
283581314,TanyaPlett,PlettTanya,2011-04-17 09:41:10,0,27,77
93556472,Informativo Anáhuac   ,Xochimilco_MX,2009-11-29 22:03:05,0,5362,1182
168306068,Antonio Nunez ,tonitoNunez,2010-07-18 18:26:45,0,179,159
332060827,la loaiza,loaizale,2011-07-08 22:40:22,0,168,364
111695279,laura de jesus,lalarockula,2010-02-05 15:09:58,0,185,892
121549722,Red Vial,RedVialRC,2010-03-09 15:21:38,0,200494,326
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
875429260919324673,a̵̛̛͌̀̀̔͑̊̽̐̅̒́̃͌͆͛͋̾̀̀̋̌̀́̔̇̅̄̍͑́̓́̉. ⃠̸l,maifrend_,2017-06-15 13:06:15,0,2953,858
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926206,763
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
476050170,Cruz Roja CDMX,CruzRoja_CDMX,2012-01-27 12:27:33,0,43729,370
238242524,C4Veracruz,c4_ver,2011-01-14 12:14:50,0,54742,96
3717425893,AzcaTranseunte,AzcaTranseunte,2015-09-28 12:24:29,0,477,1069
790373131319848960,Jorge Martinez,JorgeMa20619688,2016-10-23 20:03:33,0,7,28
1563936229,Fotos Noticias Oaxaca,FotosNoticias,2013-07-02 13:16:59,0,19347,676
1482740335,La i Campeche,LaiCampeche,2013-06-04 10:45:42,0,2822,92
2608991350,JHOHEL....,jmrnew,2014-06-14 08:53:16,0,85,929
139195814,*Nota Personal*,Notapersonal211,2010-05-01 15:27:30,0,113,466
150913226,xevt - xhvt,xevtfm,2010-06-01 22:01:04,0,86511,1044
293063533,JORGE BECERRIL JB/8,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
293063533,JORGE BECERRIL JB/8,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
733170186,Carlos Tejeda,CarlosTejedaA,2012-08-02 10:54:08,0,5540,1850
129653196,Ruth,Rutilya,2010-04-04 19:00:29,0,203,553
1944969650,Área Común CDMX,AreaComunCDMX,2013-10-07 13:07:45,0,499,992
777156215541555205, Ces H. ,huitzil_julio,2016-09-17 08:44:15,0,219,249
887696026890518528,compiladoraMX,compiladoraMX,2017-07-19 09:30:00,0,349,391
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
3259055186,alfonso rosas,panteracoy,2015-06-28 10:03:02,0,106,563
994367442,martha valdez,acassiadorada,2012-12-06 22:52:10,0,66,120
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
144705945,Ricardo Morales Sánc,riva_leo,2010-05-16 20:54:29,0,29779,2028
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
700530414968922114,Mara Erika Martinez,maraerikmama,2016-02-18 22:00:40,0,8,36
1604386056,BOMBERO DE MTY NL.,Vitorr_elbomber,2013-07-18 15:45:34,0,12215,1577
154049291,Laura Athié,lauraathie,2010-06-10 00:49:35,0,1013,1015
76462054,ᵃⁿᵃ,AnaLaoH,2009-09-22 15:51:46,0,480,598
121431425,Rodrigo Hernandez,Alquimistaroy,2010-03-09 07:39:54,0,243,483
2248317919,sharel gm,shirlon23go,2013-12-16 00:50:10,0,51,211
864614439995285506,Santa Fe CDMX,pueblosantafe,2017-05-16 16:52:01,0,1894,263
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926204,763
1022534991031488513,Rubén Pliego Rodríguez,RubnPliego1,2018-07-26 11:31:54,0,15,16
1125915509571059712,Rafa Rodriguez,RafaRod06114904,2019-05-07 18:09:10,0,0,8
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926204,763
1398007087,ramiroelizondo,ramiroielizondo,2013-05-02 13:22:14,0,5,41
767386604013023233,Gabriel Sánchez ,GabrielSanMx,2016-08-21 09:43:18,0,1374,1481
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926200,763
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
121549722,Red Vial,RedVialRC,2010-03-09 15:21:38,0,200494,326
3644895553,bsk_01,bsk_mtz,2015-09-21 22:13:55,0,450,825
3312045686,Patricia Olivares,patrimunive,2015-08-10 21:32:08,0,807,1991
268258744,𝙾𝚖𝚎𝚐𝚊 𝙽𝚊𝚞𝚌𝚊𝚕𝚙𝚊𝚗Ⓡ,OmegaNaucalpan,2011-03-18 06:26:30,0,4500,96
52049911,Maria J. Taibo,tulata,2009-06-29 07:07:39,0,2202,4999
89499739,Rob Madrid.,funghy,2009-11-12 11:55:30,0,505,441
47868258,Vecinos Unidos Polanco,maylat,2009-06-16 23:33:57,0,509,190
703635807337259008,Ana Ibarra,ibar2806,2016-02-27 11:40:24,0,22,46
103150136,Adrián Rubalcava,AdrianRubalcava,2010-01-08 20:12:31,1,62806,1463
3069282379,Tres Tv México,TresTvMexico,2015-03-09 00:54:02,0,395,846
802003144729235457,Ana ,quesoloAna,2016-11-24 22:17:04,0,1774,823
847679196008599553,ProfCuau,TlatoaniCuau,2017-03-30 23:17:24,0,227,644
256204008,pablo inclán,ni_puta_idea,2011-02-22 15:45:24,0,284,378
310044500,Revista Así Somos,revistasisomos,2011-06-02 21:17:32,0,6061,2155
22885703,Candy Flores Gracia,CandyFG,2009-03-04 23:32:18,0,1159,1507
180252335,Mr Bícu,perrilio,2010-08-18 22:54:15,0,64,705
255658088,GUADALUPE HERNANDEZ,guadalupe2hdez,2011-02-21 14:19:24,0,136,422
70810233,CA,C_Alighieri,2009-09-01 16:48:25,0,200,519
566426518,Dora,DoraBVC,2012-04-29 10:00:29,0,1021,1296
3280804766,Fernando Mangino,ManginoFernando,2015-07-15 10:33:26,0,342,440
632319117,Abraham,computrok,2012-07-10 13:16:03,0,42,172
15586238,Andrea Valverde,_andrevalverde,2008-07-24 12:22:21,0,322,1215
115545638, Just Annie ,anne_vap,2010-02-18 19:32:58,0,223,913
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926197,763
69443790,aldo castaneda,aldomochis,2009-08-27 17:47:16,0,117,1710
769178422635487233,Sr.Alex2099,SrAlex_2099,2016-08-26 08:23:21,0,37,407
220114292,AMV Ortega,1AlexMaravilla,2010-11-26 14:40:45,0,323,494
1294434115,Coraline ,coralinepattz,2013-03-24 03:13:21,0,73,65
1294434115,Coraline ,coralinepattz,2013-03-24 03:13:21,0,73,65
84748249,Ari Salmerón,ariaddnne,2009-10-23 20:32:53,0,489,371
203411590,sara olivia herrera,saraolivia3,2010-10-15 23:59:24,0,32,142
335107601,Yaaz  Fabela,yaazyta,2011-07-13 22:50:19,0,143,369
70538650,XEU Noticias,xeunoticias,2009-08-31 17:51:03,0,252241,669
227157629,Edel,edelsag,2010-12-15 20:31:41,0,146,391
2608991350,JHOHEL....,jmrnew,2014-06-14 08:53:16,0,85,929
110557970,Rumi GRuv.,RumiGruv,2010-02-01 17:54:50,0,29,155
110557970,Rumi GRuv.,RumiGruv,2010-02-01 17:54:50,0,29,155
37975495,Alejandro Medina,soyseptentrion,2009-05-05 11:45:49,0,651,975
733170186,Carlos Tejeda,CarlosTejedaA,2012-08-02 10:54:08,0,5540,1850
221588233,HUGO FRANCISCO SOLIS,FURIADELKAOZ,2010-11-30 19:56:14,0,26,215
3166398469,alejandro estrada,aestrad662,2015-04-21 01:09:57,0,60,1106
3911959161,@MaruZapiain,MaruZapiain1,2015-10-09 14:26:50,0,90,224
128783063,•alee•,alee_matamoros,2010-04-01 23:12:27,0,241,952
1058505054720851970,Franco Luna,FrancoL45103480,2018-11-02 17:44:05,0,1,21
256633050,Gustavo Ramirez,gus48_ramirez,2011-02-23 13:05:24,0,178,683
906094822062043136,Jerry Martínez,avef75,2017-09-08 04:00:14,0,80,480
30672230,Hoo-lee-etta,julieboy,2009-04-12 10:11:59,0,902,1080
39516494,Mara Echeverría ,cokoabeat,2009-05-12 08:59:23,0,2507,2062
889661170558304257,José Miguel,MiguelFQO,2017-07-24 19:38:46,0,4395,4391
119610175,MARCOVA,MARC0VA,2010-03-03 22:02:37,0,53,89
199784940,@vicks,alex07pv,2010-10-07 12:35:13,0,20,229
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
142351946,Joss Plata,jossplata,2010-05-10 11:13:30,0,1026,2929
63872707,A L F,Afredo_Sanson,2009-08-07 19:19:46,0,772,430
703308163,Ana María Tolsá,tolsanina,2012-07-18 09:49:57,0,16,75
242109258,León ⎊ ,leoncsm,2011-01-23 17:56:11,0,961,1677
408789366,edgar serrano,serraned08,2011-11-09 16:00:42,0,85,1203
2280977984,Andres,andre_pierre_96,2014-01-07 12:09:46,0,48,69
1069417414121717760,@martha,masdi73829771,2018-12-02 20:25:55,0,3,25
834237338280673280,Livingstonne Mont,LivingstonneMT7,2017-02-21 21:04:15,0,11,83
145771691,jlvlzqz,jlvlzqz,2010-05-19 15:00:55,0,17,48
340729730,Miriam Mendoza C,miriamgmc10,2011-07-22 23:02:10,0,24,11
2561642345,UH B SAN PATRICIO,UBATALLON,2014-05-24 02:40:11,0,136,199
205851311,Ж̶̲̰͚̜͇͚̋̿̋ͅи̶̛͉͈͈̺̟͕̤̾̈́̇̋͝а̸̜͙̔̓͗͠͠м̷̗̟̘͇̬̇̉̔̒͘͠,zhiamako,2010-10-21 12:57:30,0,1175,1051
106203073,gustavo aguilera,digitaluxs,2010-01-18 14:39:43,0,81,438
58629135,Skylula (Lulúlr),Skylula,2009-07-20 17:33:26,0,273,2313
163623951,Daniel Figueroa,danfigueroa76,2010-07-06 16:10:41,0,296,353
1084644635824267264,Vecinos san Pedro de los Pinos,Vecinos_Sn_Pdro,2019-01-13 20:53:27,0,65,25
706090094,luis felipe Alvarez,axterix1366,2012-07-19 18:42:15,0,268,644
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926204,763
160080640,Maik Wazowski,bRiTrOnWwW,2010-06-26 22:02:28,0,167,352
44656990,Mr. Kievs (Juan Manuel) ,NoloDz,2009-06-04 10:41:20,0,1904,4993
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926204,763
157480551,Masram marsam,infinito168,2010-06-19 17:40:50,0,1083,1141
1011547056,Junuen Peralta,JunuenP,2012-12-14 11:11:59,0,186,557
1129010627240968192,Jesus Figueroa,JesusFi83373730,2019-05-16 07:08:04,0,1,9
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926204,763
87350793,SUUMA Voluntarios ,SUUMA_CDMX,2009-11-03 21:07:26,0,43180,86
35268524,Alex Heredia,sonofthesuns,2009-04-25 11:56:13,0,229,162
212798433,Lupita Alférez,lupitaalferez,2010-11-06 20:42:36,0,39,602
212798433,Lupita Alférez,lupitaalferez,2010-11-06 20:42:36,0,39,602
1520768660,MaryCarmen  Nava,Car5872,2013-06-15 18:24:11,0,21,252
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926204,763
68871925,NABD,brapal,2009-08-25 20:01:19,0,185,1061
907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144
1067465855578136577,Adeereiaene,Adeereiaene1,2018-11-27 11:11:07,0,3,2
403928613,ivan lex,IvanLexx,2011-11-03 00:05:06,0,33,130
385810395,Leonardo Colunga,Leo_Colunga,2011-10-05 23:12:46,0,285,1022
452628845,Eliz Ah,Eliz_A_H,2012-01-01 20:32:46,0,61,87
3438228316,Rocío Cruz,Ahrummi,2015-08-24 10:45:26,0,147,849
868645575893241856,Aníbal,anibalmujicar,2017-05-27 19:50:18,0,219,941
955245619240718336,Angel,luisangel9527,2018-01-21 19:07:58,0,42,1501
903097695899934725,lxm2608,LXM2608,2017-08-30 21:30:44,0,22,129
2285771864,Arkii,Tokaaii,2014-01-10 17:23:00,0,477,1520
1179369768,celohoso,celohosogc,2013-02-14 08:42:09,0,14,65
888971661889896448,Víc Manolo,VctorManuelMG1,2017-07-22 21:58:55,0,87,231
888971661889896448,Víc Manolo,VctorManuelMG1,2017-07-22 21:58:55,0,87,231
230540239,Jose Luis,joselvazquez69,2010-12-25 16:32:49,0,74,725
